gene,gene_id,chromosome,gene_length,is_multi_disease,num_diseases,diseases,max_score,mean_score,weighted_score,top_disease,shared_snp_count,total_snp_count,AD_score,AD_score_raw,AD_snps,T2D_score,T2D_score_raw,T2D_snps
TCF7L2,,10,10000,False,1,T2D,0.886602,0.886602,0.886602,T2D,0,63,0,0,0,0.886602,0.886602,63
TET1,,10,10000,False,1,T2D,0.585963,0.585963,0.585963,T2D,0,3,0,0,0,0.585963,0.585963,3
TEX14,,17,10000,False,1,T2D,0.554815,0.554815,0.554815,T2D,0,1,0,0,0,0.554815,0.554815,1
TFAP2B,,6,10000,False,1,T2D,0.524111,0.524111,0.524111,T2D,0,3,0,0,0,0.524111,0.524111,3
TFEB,,6,10000,False,1,T2D,0.488185,0.488185,0.488185,T2D,0,2,0,0,0,0.488185,0.488185,2
TFRC,,3,10000,False,1,T2D,0.535449,0.535449,0.535449,T2D,0,6,0,0,0,0.535449,0.535449,6
TGFBR3L,,19,10000,False,1,T2D,0.678731,0.678731,0.678731,T2D,0,6,0,0,0,0.678731,0.678731,6
TH,,11,10000,False,1,T2D,0.639147,0.639147,0.639147,T2D,0,12,0,0,0,0.639147,0.639147,12
THADA,,2,10000,False,1,T2D,0.682904,0.682904,0.682904,T2D,0,40,0,0,0,0.682904,0.682904,40
THOC7,,3,10000,False,1,T2D,0.634627,0.634627,0.634627,T2D,0,3,0,0,0,0.634627,0.634627,3
TIMM44,,19,10000,False,1,T2D,0.659055,0.659055,0.659055,T2D,0,3,0,0,0,0.659055,0.659055,3
TIMP4,,3,10000,False,1,T2D,0.635923,0.635923,0.635923,T2D,0,2,0,0,0,0.635923,0.635923,2
TLE1,,9,10000,False,1,T2D,0.763923,0.763923,0.763923,T2D,0,2,0,0,0,0.763923,0.763923,2
TLR4,,9,10000,False,1,T2D,0.495995,0.495995,0.495995,T2D,0,2,0,0,0,0.495995,0.495995,2
TM6SF2,,19,10000,False,1,T2D,0.63799,0.63799,0.63799,T2D,0,2,0,0,0,0.63799,0.63799,2
TMEM154,,4,10000,False,1,T2D,0.648004,0.648004,0.648004,T2D,0,3,0,0,0,0.648004,0.648004,3
TMEM160,,19,10000,True,2,"AD,T2D",0.652659,0.618475,0.601383,AD,0,4,0.652659,0.652659,1,0.584291,0.584291,3
TMEM161A,,19,10000,False,1,T2D,0.626361,0.626361,0.626361,T2D,0,1,0,0,0,0.626361,0.626361,1
TMEM175,,4,10000,False,1,AD,0.673419,0.673419,0.673419,AD,0,3,0.673419,0.673419,3,0,0,0
TMEM18,,2,10000,False,1,T2D,0.61335,0.61335,0.61335,T2D,0,1,0,0,0,0.61335,0.61335,1
TMEM249,,8,10000,False,1,T2D,0.735878,0.735878,0.735878,T2D,0,1,0,0,0,0.735878,0.735878,1
TMEM258,,11,10000,False,1,T2D,0.495349,0.495349,0.495349,T2D,0,1,0,0,0,0.495349,0.495349,1
TMEM259,,19,10000,False,1,AD,0.600945,0.600945,0.600945,AD,0,2,0.600945,0.600945,2,0,0,0
TNF,,6,10000,False,1,T2D,0.618486,0.618486,0.618486,T2D,0,6,0,0,0,0.618486,0.618486,6
TNFSF12,,17,10000,False,1,T2D,0.643953,0.643953,0.643953,T2D,0,7,0,0,0,0.643953,0.643953,7
TNFSF12-TNFSF13,,17,10000,False,1,T2D,0.643953,0.643953,0.643953,T2D,0,7,0,0,0,0.643953,0.643953,7
TNFSF13,,17,10000,False,1,T2D,0.643953,0.643953,0.643953,T2D,0,5,0,0,0,0.643953,0.643953,5
TNIK,,3,10000,False,1,T2D,0.511869,0.511869,0.511869,T2D,0,1,0,0,0,0.511869,0.511869,1
TNKS2,,10,10000,False,1,T2D,0.603056,0.603056,0.603056,T2D,0,2,0,0,0,0.603056,0.603056,2
TNXB,,6,10000,False,1,T2D,0.686582,0.686582,0.686582,T2D,0,5,0,0,0,0.686582,0.686582,5
TOMM40,,19,10000,True,2,"AD,T2D",0.985749,0.842117,0.965411,AD,8,113,0.985749,0.985749,105,0.698485,0.698485,8
TOMM40L,,1,10000,False,1,AD,0.584686,0.584686,0.584686,AD,0,2,0.584686,0.584686,2,0,0,0
TOP1,,20,10000,False,1,T2D,0.549773,0.549773,0.549773,T2D,0,1,0,0,0,0.549773,0.549773,1
TOX2,,20,10000,False,1,T2D,0.807608,0.807608,0.807608,T2D,0,2,0,0,0,0.807608,0.807608,2
TP53INP1,,8,10000,True,2,"AD,T2D",0.526221,0.51052,0.51052,AD,0,10,0.526221,0.526221,5,0.494818,0.494818,5
TP53INP2,,20,10000,False,1,T2D,0.543505,0.543505,0.543505,T2D,0,1,0,0,0,0.543505,0.543505,1
TRAF3,,14,10000,False,1,T2D,0.492721,0.492721,0.492721,T2D,0,1,0,0,0,0.492721,0.492721,1
TRAIP,,3,10000,False,1,T2D,0.53936,0.53936,0.53936,T2D,0,1,0,0,0,0.53936,0.53936,1
TRAP1,,16,10000,False,1,T2D,0.549396,0.549396,0.549396,T2D,0,1,0,0,0,0.549396,0.549396,1
TRAPPC3L,,6,10000,False,1,T2D,0.517851,0.517851,0.517851,T2D,0,1,0,0,0,0.517851,0.517851,1
TRAPPC6A,,19,10000,False,1,AD,0.645548,0.645548,0.645548,AD,0,5,0.645548,0.645548,5,0,0,0
TREM1,,6,10000,False,1,AD,0.613619,0.613619,0.613619,AD,0,3,0.613619,0.613619,3,0,0,0
TREM2,,6,10000,False,1,AD,0.818931,0.818931,0.818931,AD,0,2,0.818931,0.818931,2,0,0,0
TREML1,,6,10000,False,1,AD,0.818931,0.818931,0.818931,AD,0,2,0.818931,0.818931,2,0,0,0
TREML2,,6,10000,False,1,AD,0.818931,0.818931,0.818931,AD,0,7,0.818931,0.818931,7,0,0,0
TREML4,,6,10000,False,1,AD,0.585506,0.585506,0.585506,AD,0,3,0.585506,0.585506,3,0,0,0
TRIM31,,6,10000,False,1,T2D,0.668073,0.668073,0.668073,T2D,0,2,0,0,0,0.668073,0.668073,2
TRIM38,,6,10000,False,1,T2D,0.569203,0.569203,0.569203,T2D,0,1,0,0,0,0.569203,0.569203,1
TRIM49B,,11,10000,False,1,T2D,0.499879,0.499879,0.499879,T2D,0,1,0,0,0,0.499879,0.499879,1
TRPS1,,8,10000,False,1,T2D,0.606269,0.606269,0.606269,T2D,0,1,0,0,0,0.606269,0.606269,1
TSC22D4,,7,10000,False,1,AD,0.644475,0.644475,0.644475,AD,0,2,0.644475,0.644475,2,0,0,0
TSEN15,,1,10000,False,1,T2D,0.515988,0.515988,0.515988,T2D,0,12,0,0,0,0.515988,0.515988,12
TSPAN14,,10,10000,False,1,AD,0.64598,0.64598,0.64598,AD,0,14,0.64598,0.64598,14,0,0,0
TSPAN15,,10,10000,False,1,T2D,0.829028,0.829028,0.829028,T2D,0,5,0,0,0,0.829028,0.829028,5
TSPAN3,,15,10000,False,1,T2D,0.663878,0.663878,0.663878,T2D,0,3,0,0,0,0.663878,0.663878,3
