gene_name,snp_count,best_pvalue,max_risk_score,max_combined_score,min_distance,gene_id,gene_rank
SPPL2C,377,1.841e-08,0.0166735016161463,0.1886696374071898,0,ENSG00000185294,424
SLC52A1,5,4.79443e-08,0.0159861791784754,0.1874646712339361,43903,ENSG00000132517,425
C5AR1,3,2.44191e-08,0.0153028431989647,0.1872614920322489,8157,ENSG00000197405,426
CCDC83,4,6.216e-13,0.0244129779884142,0.0195998542081478,40188,ENSG00000150676,427
NFKBID,36,2.08444e-10,0.0193620212027965,0.0094664183990064,0,ENSG00000167604,428
APLP1,33,2.08444e-10,0.0193620212027965,0.0094664183990064,21288,ENSG00000105290,429
KIRREL2,15,2.08444e-10,0.0193620212027965,0.0094664183990064,33970,ENSG00000126259,430
LRFN3,12,2.08444e-10,0.0193620212027965,0.0094664183990064,29473,ENSG00000126243,431
TYROBP,12,2.08444e-10,0.0193620212027965,0.0094664183990064,0,ENSG00000011600,432
NPHS1,15,2.08444e-10,0.0193620212027965,0.0094664183990064,31792,ENSG00000161270,433
HCST,6,2.08444e-10,0.0193620212027965,0.0094664183990064,1296,ENSG00000126264,434
CEACAM5,7,8.96004e-09,0.0160953801030551,0.0029658405036624,39207,ENSG00000105388,435
CEA,2,8.96004e-09,0.0160953801030551,0.0029658405036624,39234,ENSG00000267881,436
PSG8,27,1.8505e-08,0.0154654218211377,0.0017212051388855,0,ENSG00000124467,437
PSG1,33,1.8505e-08,0.0154654218211377,0.0017212051388855,13833,ENSG00000231924,438
POU2F2,17,2.97961e-08,0.0150516811536811,0.0008911512140785,0,ENSG00000028277,439
PSG11,13,3.30248e-08,0.0149623196076333,0.0007277381799078,15447,ENSG00000243130,440
FAM231C,1,3.82279e-08,0.0148352391174571,0.000466495547546,45404,ENSG00000268991,441
CROCC,13,3.82279e-08,0.0148352391174571,0.000466495547546,0,ENSG00000058453,442
